Fundraising Event	Amount	Currency
Charity One	-	EUR
Charity Two	-	USD
Charity Three	-	USD
Charity Four	-	PLN
Charity One	0,00	EUR
Charity Two	0,00	USD
Charity Three	0,00	PLN
Charity One	0,00	EUR
Charity Two	0,00	USD
Charity Three	0,00	PLN
Charity One	0,00	EUR
Charity Two	0,00	USD
Charity Three	0,00	PLN
Charity One	0,00	EUR
Charity Two	0,00	USD
Charity Three	0,00	PLN
Charity One	0,00	EUR
Charity Two	0,00	USD
Charity Three	0,00	PLN
New Charity Event	0,00	USD
Charity One	0,00	EUR
Charity Two	0,00	USD
Charity Three	0,00	PLN
